"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Thu Jun 25 2020 09:30:00 GMT+0530 (India Standard Time),""21040.40"",""21270.10"",""21033.30"",""21215.25"",""-167.91"""
"Thu Jun 25 2020 09:45:00 GMT+0530 (India Standard Time),""21212.80"",""21317.55"",""21167.05"",""21226.40"",""-127.35"""
"Thu Jun 25 2020 10:00:00 GMT+0530 (India Standard Time),""21225.70"",""21246.40"",""21154.10"",""21197.90"",""-116.65"""
"Thu Jun 25 2020 10:15:00 GMT+0530 (India Standard Time),""21198.95"",""21430.35"",""21195.25"",""21421.25"",""-74.51"""
"Thu Jun 25 2020 10:30:00 GMT+0530 (India Standard Time),""21419.05"",""21544.65"",""21365.50"",""21433.35"",""-47.65"""
"Thu Jun 25 2020 10:45:00 GMT+0530 (India Standard Time),""21437.90"",""21508.60"",""21403.30"",""21488.45"",""-38.51"""
"Thu Jun 25 2020 11:00:00 GMT+0530 (India Standard Time),""21489.90"",""21603.90"",""21486.10"",""21488.20"",""-20.07"""
"Thu Jun 25 2020 11:15:00 GMT+0530 (India Standard Time),""21486.45"",""21535.85"",""21380.95"",""21424.20"",""-33.49"""
"Thu Jun 25 2020 11:30:00 GMT+0530 (India Standard Time),""21424.45"",""21553.45"",""21421.95"",""21441.20"",""-19.75"""
"Thu Jun 25 2020 11:45:00 GMT+0530 (India Standard Time),""21440.05"",""21472.85"",""21282.45"",""21296.90"",""-51.92"""
"Thu Jun 25 2020 12:00:00 GMT+0530 (India Standard Time),""21293.30"",""21346.45"",""21249.00"",""21275.70"",""-68.57"""
"Thu Jun 25 2020 12:15:00 GMT+0530 (India Standard Time),""21273.75"",""21328.30"",""21192.80"",""21322.35"",""-66.49"""
"Thu Jun 25 2020 12:30:00 GMT+0530 (India Standard Time),""21314.80"",""21367.45"",""21142.45"",""21166.95"",""-80.64"""
"Thu Jun 25 2020 12:45:00 GMT+0530 (India Standard Time),""21163.95"",""21186.35"",""21085.95"",""21169.50"",""-104.37"""
"Thu Jun 25 2020 13:00:00 GMT+0530 (India Standard Time),""21166.65"",""21237.85"",""21131.60"",""21218.35"",""-76.68"""
"Thu Jun 25 2020 13:15:00 GMT+0530 (India Standard Time),""21219.05"",""21266.00"",""21137.85"",""21196.70"",""-67.23"""
"Thu Jun 25 2020 13:30:00 GMT+0530 (India Standard Time),""21192.10"",""21541.60"",""21192.10"",""21519.10"",""56.64"""
"Thu Jun 25 2020 13:45:00 GMT+0530 (India Standard Time),""21515.55"",""21678.50"",""21462.55"",""21515.95"",""125.39"""
"Thu Jun 25 2020 14:00:00 GMT+0530 (India Standard Time),""21523.20"",""21679.85"",""21501.35"",""21660.35"",""142.44"""
"Thu Jun 25 2020 14:15:00 GMT+0530 (India Standard Time),""21659.30"",""21700.65"",""21561.65"",""21590.55"",""130.19"""
"Thu Jun 25 2020 14:30:00 GMT+0530 (India Standard Time),""21590.15"",""21640.10"",""21496.60"",""21588.05"",""97.40"""
"Thu Jun 25 2020 14:45:00 GMT+0530 (India Standard Time),""21585.65"",""21585.65"",""21435.00"",""21516.95"",""60.10"""
"Thu Jun 25 2020 15:00:00 GMT+0530 (India Standard Time),""21516.65"",""21557.20"",""21469.00"",""21489.40"",""51.45"""
"Thu Jun 25 2020 15:15:00 GMT+0530 (India Standard Time),""21486.30"",""21543.40"",""21459.85"",""21504.75"",""46.20"""
"Fri Jun 26 2020 09:15:00 GMT+0530 (India Standard Time),""21735.05"",""21765.30"",""21631.40"",""21745.30"",""141.29"""
"Fri Jun 26 2020 09:30:00 GMT+0530 (India Standard Time),""21741.60"",""21784.60"",""21605.10"",""21663.60"",""113.71"""
"Fri Jun 26 2020 09:45:00 GMT+0530 (India Standard Time),""21665.30"",""21690.00"",""21578.00"",""21626.40"",""83.95"""
"Fri Jun 26 2020 10:00:00 GMT+0530 (India Standard Time),""21624.60"",""21698.35"",""21595.60"",""21631.65"",""80.00"""
"Fri Jun 26 2020 10:15:00 GMT+0530 (India Standard Time),""21632.65"",""21632.65"",""21456.25"",""21485.65"",""27.95"""
"Fri Jun 26 2020 10:30:00 GMT+0530 (India Standard Time),""21492.00"",""21549.25"",""21469.90"",""21489.60"",""15.93"""
"Fri Jun 26 2020 10:45:00 GMT+0530 (India Standard Time),""21489.15"",""21498.65"",""21375.15"",""21468.80"",""-12.87"""
"Fri Jun 26 2020 11:00:00 GMT+0530 (India Standard Time),""21463.55"",""21569.25"",""21463.55"",""21538.25"",""19.10"""
"Fri Jun 26 2020 11:15:00 GMT+0530 (India Standard Time),""21536.30"",""21573.20"",""21404.60"",""21489.75"",""-6.54"""
"Fri Jun 26 2020 11:30:00 GMT+0530 (India Standard Time),""21488.70"",""21525.40"",""21443.20"",""21468.90"",""-27.33"""
"Fri Jun 26 2020 11:45:00 GMT+0530 (India Standard Time),""21466.45"",""21522.65"",""21462.25"",""21496.80"",""-32.19"""
"Fri Jun 26 2020 12:00:00 GMT+0530 (India Standard Time),""21496.40"",""21574.95"",""21492.05"",""21553.85"",""-8.53"""
"Fri Jun 26 2020 12:15:00 GMT+0530 (India Standard Time),""21554.35"",""21594.25"",""21444.05"",""21444.30"",""-63.34"""
"Fri Jun 26 2020 12:30:00 GMT+0530 (India Standard Time),""21443.70"",""21498.60"",""21361.45"",""21362.85"",""-138.33"""
"Fri Jun 26 2020 12:45:00 GMT+0530 (India Standard Time),""21362.25"",""21416.25"",""21326.20"",""21408.50"",""-149.30"""
"Fri Jun 26 2020 13:00:00 GMT+0530 (India Standard Time),""21407.00"",""21439.60"",""21330.40"",""21427.30"",""-125.91"""
"Fri Jun 26 2020 13:15:00 GMT+0530 (India Standard Time),""21425.30"",""21524.85"",""21382.75"",""21415.35"",""-77.04"""
"Fri Jun 26 2020 13:30:00 GMT+0530 (India Standard Time),""21415.75"",""21456.90"",""21347.85"",""21398.80"",""-105.85"""
"Fri Jun 26 2020 13:45:00 GMT+0530 (India Standard Time),""21399.80"",""21455.85"",""21377.15"",""21409.20"",""-85.01"""
"Fri Jun 26 2020 14:00:00 GMT+0530 (India Standard Time),""21407.70"",""21510.10"",""21397.70"",""21456.00"",""-44.20"""
"Fri Jun 26 2020 14:15:00 GMT+0530 (India Standard Time),""21457.25"",""21592.80"",""21454.85"",""21563.40"",""44.91"""
"Fri Jun 26 2020 14:30:00 GMT+0530 (India Standard Time),""21564.90"",""21604.40"",""21406.05"",""21485.75"",""16.59"""
"Fri Jun 26 2020 14:45:00 GMT+0530 (India Standard Time),""21485.10"",""21525.50"",""21455.55"",""21525.50"",""32.30"""
"Fri Jun 26 2020 15:00:00 GMT+0530 (India Standard Time),""21522.60"",""21580.65"",""21497.30"",""21549.45"",""103.43"""
"Fri Jun 26 2020 15:15:00 GMT+0530 (India Standard Time),""21549.00"",""21688.35"",""21548.00"",""21661.75"",""210.73"""
"Mon Jun 29 2020 09:15:00 GMT+0530 (India Standard Time),""21291.55"",""21291.55"",""21131.65"",""21173.40"",""-281.12"""
"Mon Jun 29 2020 09:30:00 GMT+0530 (India Standard Time),""21171.55"",""21204.00"",""21122.20"",""21143.00"",""-246.06"""
"Mon Jun 29 2020 09:45:00 GMT+0530 (India Standard Time),""21138.75"",""21160.35"",""21065.45"",""21094.80"",""-223.12"""
"Mon Jun 29 2020 10:00:00 GMT+0530 (India Standard Time),""21093.20"",""21097.25"",""21026.60"",""21064.45"",""-201.06"""
