"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Fri Jan 08 2021 11:30:00 GMT+0530 (India Standard Time),""14264.30"",""14286.40"",""14261.75"",""14283.35"",""94.26"""
"Fri Jan 08 2021 11:45:00 GMT+0530 (India Standard Time),""14283.40"",""14291.35"",""14273.85"",""14288.50"",""95.30"""
"Fri Jan 08 2021 12:00:00 GMT+0530 (India Standard Time),""14288.90"",""14291.30"",""14272.15"",""14287.80"",""85.15"""
"Fri Jan 08 2021 12:15:00 GMT+0530 (India Standard Time),""14288.45"",""14296.20"",""14287.25"",""14293.65"",""91.66"""
"Fri Jan 08 2021 12:30:00 GMT+0530 (India Standard Time),""14294.25"",""14299.95"",""14284.00"",""14297.85"",""88.38"""
"Fri Jan 08 2021 12:45:00 GMT+0530 (India Standard Time),""14298.90"",""14301.75"",""14287.75"",""14293.00"",""83.25"""
"Fri Jan 08 2021 13:00:00 GMT+0530 (India Standard Time),""14293.75"",""14295.20"",""14282.55"",""14289.15"",""69.77"""
"Fri Jan 08 2021 13:15:00 GMT+0530 (India Standard Time),""14289.05"",""14298.70"",""14282.45"",""14291.50"",""68.79"""
"Fri Jan 08 2021 13:30:00 GMT+0530 (India Standard Time),""14292.00"",""14292.35"",""14262.05"",""14273.15"",""35.49"""
"Fri Jan 08 2021 13:45:00 GMT+0530 (India Standard Time),""14273.90"",""14296.45"",""14273.55"",""14295.50"",""64.02"""
"Fri Jan 08 2021 14:00:00 GMT+0530 (India Standard Time),""14295.50"",""14296.60"",""14272.75"",""14286.00"",""50.08"""
"Fri Jan 08 2021 14:15:00 GMT+0530 (India Standard Time),""14285.65"",""14298.10"",""14260.80"",""14296.65"",""46.10"""
"Fri Jan 08 2021 14:30:00 GMT+0530 (India Standard Time),""14296.95"",""14321.45"",""14286.85"",""14317.10"",""160.73"""
"Fri Jan 08 2021 14:45:00 GMT+0530 (India Standard Time),""14316.95"",""14334.70"",""14305.55"",""14310.70"",""203.07"""
"Fri Jan 08 2021 15:00:00 GMT+0530 (India Standard Time),""14312.20"",""14357.75"",""14312.20"",""14357.25"",""294.92"""
"Fri Jan 08 2021 15:15:00 GMT+0530 (India Standard Time),""14357.45"",""14366.85"",""14343.45"",""14343.90"",""258.14"""
"Mon Jan 11 2021 09:15:00 GMT+0530 (India Standard Time),""14474.05"",""14474.05"",""14404.90"",""14451.35"",""367.47"""
"Mon Jan 11 2021 09:30:00 GMT+0530 (India Standard Time),""14452.70"",""14464.00"",""14450.65"",""14460.90"",""272.83"""
"Mon Jan 11 2021 09:45:00 GMT+0530 (India Standard Time),""14460.95"",""14478.95"",""14435.95"",""14471.30"",""206.50"""
"Mon Jan 11 2021 10:00:00 GMT+0530 (India Standard Time),""14471.10"",""14472.55"",""14438.25"",""14444.40"",""152.68"""
"Mon Jan 11 2021 10:15:00 GMT+0530 (India Standard Time),""14445.10"",""14445.10"",""14389.95"",""14400.50"",""88.85"""
"Mon Jan 11 2021 10:30:00 GMT+0530 (India Standard Time),""14400.30"",""14434.65"",""14384.10"",""14426.55"",""81.15"""
"Mon Jan 11 2021 10:45:00 GMT+0530 (India Standard Time),""14426.50"",""14442.10"",""14419.50"",""14428.95"",""85.61"""
"Mon Jan 11 2021 11:00:00 GMT+0530 (India Standard Time),""14429.15"",""14455.00"",""14423.35"",""14443.00"",""84.63"""
"Mon Jan 11 2021 11:15:00 GMT+0530 (India Standard Time),""14443.00"",""14443.55"",""14414.00"",""14431.05"",""65.57"""
"Mon Jan 11 2021 11:30:00 GMT+0530 (India Standard Time),""14431.05"",""14435.55"",""14406.85"",""14411.60"",""48.50"""
"Mon Jan 11 2021 11:45:00 GMT+0530 (India Standard Time),""14412.20"",""14420.50"",""14396.55"",""14403.90"",""32.87"""
"Mon Jan 11 2021 12:00:00 GMT+0530 (India Standard Time),""14403.25"",""14439.00"",""14394.35"",""14433.60"",""44.30"""
"Mon Jan 11 2021 12:15:00 GMT+0530 (India Standard Time),""14433.35"",""14440.55"",""14422.10"",""14427.35"",""48.48"""
"Mon Jan 11 2021 12:30:00 GMT+0530 (India Standard Time),""14427.05"",""14448.30"",""14420.45"",""14448.25"",""55.97"""
"Mon Jan 11 2021 12:45:00 GMT+0530 (India Standard Time),""14448.20"",""14448.65"",""14431.10"",""14435.60"",""52.80"""
"Mon Jan 11 2021 13:00:00 GMT+0530 (India Standard Time),""14434.50"",""14442.00"",""14419.20"",""14441.95"",""43.13"""
"Mon Jan 11 2021 13:15:00 GMT+0530 (India Standard Time),""14440.60"",""14456.80"",""14435.45"",""14449.75"",""67.75"""
"Mon Jan 11 2021 13:30:00 GMT+0530 (India Standard Time),""14449.25"",""14469.50"",""14449.25"",""14462.15"",""102.53"""
"Mon Jan 11 2021 13:45:00 GMT+0530 (India Standard Time),""14462.30"",""14473.35"",""14441.00"",""14455.70"",""91.98"""
"Mon Jan 11 2021 14:00:00 GMT+0530 (India Standard Time),""14455.75"",""14466.40"",""14435.75"",""14461.70"",""81.54"""
"Mon Jan 11 2021 14:15:00 GMT+0530 (India Standard Time),""14461.90"",""14466.50"",""14445.45"",""14465.55"",""94.71"""
"Mon Jan 11 2021 14:30:00 GMT+0530 (India Standard Time),""14466.75"",""14482.75"",""14466.00"",""14472.80"",""150.14"""
"Mon Jan 11 2021 14:45:00 GMT+0530 (India Standard Time),""14472.35"",""14488.10"",""14465.45"",""14474.10"",""148.62"""
"Mon Jan 11 2021 15:00:00 GMT+0530 (India Standard Time),""14474.30"",""14491.65"",""14474.30"",""14486.80"",""157.98"""
"Mon Jan 11 2021 15:15:00 GMT+0530 (India Standard Time),""14487.15"",""14496.45"",""14478.30"",""14483.05"",""141.76"""
"Tue Jan 12 2021 09:15:00 GMT+0530 (India Standard Time),""14473.80"",""14490.05"",""14435.95"",""14489.65"",""83.53"""
"Tue Jan 12 2021 09:30:00 GMT+0530 (India Standard Time),""14489.35"",""14497.70"",""14481.80"",""14497.55"",""134.75"""
"Tue Jan 12 2021 09:45:00 GMT+0530 (India Standard Time),""14496.35"",""14499.60"",""14466.65"",""14471.90"",""83.26"""
"Tue Jan 12 2021 10:00:00 GMT+0530 (India Standard Time),""14472.70"",""14486.15"",""14458.25"",""14459.10"",""42.32"""
"Tue Jan 12 2021 10:15:00 GMT+0530 (India Standard Time),""14458.40"",""14473.65"",""14450.60"",""14473.40"",""30.65"""
"Tue Jan 12 2021 10:30:00 GMT+0530 (India Standard Time),""14473.25"",""14489.05"",""14470.85"",""14488.40"",""85.48"""
"Tue Jan 12 2021 10:45:00 GMT+0530 (India Standard Time),""14488.70"",""14488.70"",""14469.45"",""14471.10"",""54.39"""
"Tue Jan 12 2021 11:00:00 GMT+0530 (India Standard Time),""14470.80"",""14494.20"",""14460.60"",""14494.20"",""77.40"""
"Tue Jan 12 2021 11:15:00 GMT+0530 (India Standard Time),""14494.05"",""14509.95"",""14493.25"",""14496.30"",""143.43"""
"Tue Jan 12 2021 11:30:00 GMT+0530 (India Standard Time),""14495.70"",""14500.75"",""14490.70"",""14494.25"",""114.66"""
"Tue Jan 12 2021 11:45:00 GMT+0530 (India Standard Time),""14494.90"",""14496.30"",""14485.00"",""14491.20"",""87.74"""
"Tue Jan 12 2021 12:00:00 GMT+0530 (India Standard Time),""14491.00"",""14525.45"",""14490.10"",""14516.55"",""178.46"""
"Tue Jan 12 2021 12:15:00 GMT+0530 (India Standard Time),""14517.50"",""14521.50"",""14511.70"",""14519.75"",""186.20"""
