"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Wed Jan 06 2021 12:30:00 GMT+0530 (India Standard Time),""15420.10"",""15429.45"",""15410.10"",""15414.35"",""92.64"""
"Wed Jan 06 2021 12:45:00 GMT+0530 (India Standard Time),""15413.65"",""15429.25"",""15405.35"",""15414.30"",""92.01"""
"Wed Jan 06 2021 13:00:00 GMT+0530 (India Standard Time),""15413.65"",""15427.00"",""15399.75"",""15411.80"",""75.83"""
"Wed Jan 06 2021 13:15:00 GMT+0530 (India Standard Time),""15412.20"",""15438.50"",""15390.05"",""15409.35"",""69.41"""
"Wed Jan 06 2021 13:30:00 GMT+0530 (India Standard Time),""15412.55"",""15418.15"",""15342.70"",""15381.45"",""-123.31"""
"Wed Jan 06 2021 13:45:00 GMT+0530 (India Standard Time),""15378.60"",""15380.15"",""15299.00"",""15349.80"",""-297.67"""
"Wed Jan 06 2021 14:00:00 GMT+0530 (India Standard Time),""15350.55"",""15365.50"",""15282.65"",""15320.15"",""-303.89"""
"Wed Jan 06 2021 14:15:00 GMT+0530 (India Standard Time),""15318.10"",""15370.00"",""15304.70"",""15350.25"",""-182.40"""
"Wed Jan 06 2021 14:30:00 GMT+0530 (India Standard Time),""15350.65"",""15394.35"",""15321.20"",""15391.95"",""-74.25"""
"Wed Jan 06 2021 14:45:00 GMT+0530 (India Standard Time),""15393.05"",""15414.70"",""15383.00"",""15413.35"",""43.44"""
"Wed Jan 06 2021 15:00:00 GMT+0530 (India Standard Time),""15413.25"",""15426.60"",""15388.10"",""15397.55"",""45.10"""
"Wed Jan 06 2021 15:15:00 GMT+0530 (India Standard Time),""15396.25"",""15406.35"",""15352.35"",""15364.25"",""-49.94"""
"Thu Jan 07 2021 09:15:00 GMT+0530 (India Standard Time),""15529.80"",""15529.80"",""15470.20"",""15500.00"",""284.31"""
"Thu Jan 07 2021 09:30:00 GMT+0530 (India Standard Time),""15501.05"",""15519.70"",""15476.20"",""15488.90"",""222.62"""
"Thu Jan 07 2021 09:45:00 GMT+0530 (India Standard Time),""15488.00"",""15505.45"",""15483.20"",""15491.65"",""182.70"""
"Thu Jan 07 2021 10:00:00 GMT+0530 (India Standard Time),""15491.65"",""15502.05"",""15465.65"",""15477.00"",""133.42"""
"Thu Jan 07 2021 10:15:00 GMT+0530 (India Standard Time),""15476.90"",""15499.70"",""15470.15"",""15488.60"",""121.70"""
"Thu Jan 07 2021 10:30:00 GMT+0530 (India Standard Time),""15488.95"",""15494.00"",""15471.10"",""15489.30"",""102.76"""
"Thu Jan 07 2021 10:45:00 GMT+0530 (India Standard Time),""15489.50"",""15516.90"",""15489.50"",""15510.25"",""113.31"""
"Thu Jan 07 2021 11:00:00 GMT+0530 (India Standard Time),""15510.65"",""15521.05"",""15490.30"",""15511.05"",""99.89"""
