"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Wed Jun 19 2024 13:45:00 GMT+0530 (India Standard Time),""22858.10"",""22926.05"",""22841.00"",""22920.75"",""150.51"""
"Wed Jun 19 2024 14:00:00 GMT+0530 (India Standard Time),""22921.25"",""22996.50"",""22912.35"",""22987.70"",""222.13"""
"Wed Jun 19 2024 14:15:00 GMT+0530 (India Standard Time),""22988.05"",""23054.50"",""22953.80"",""23034.60"",""240.26"""
"Wed Jun 19 2024 14:30:00 GMT+0530 (India Standard Time),""23036.50"",""23154.25"",""23026.90"",""23104.05"",""256.29"""
"Wed Jun 19 2024 14:45:00 GMT+0530 (India Standard Time),""23105.15"",""23127.35"",""22967.60"",""22976.85"",""150.48"""
"Wed Jun 19 2024 15:00:00 GMT+0530 (India Standard Time),""22976.35"",""22982.20"",""22877.50"",""22948.20"",""70.13"""
"Wed Jun 19 2024 15:15:00 GMT+0530 (India Standard Time),""22946.80"",""22968.85"",""22928.55"",""22950.65"",""70.19"""
"Thu Jun 20 2024 09:15:00 GMT+0530 (India Standard Time),""23065.45"",""23065.60"",""22927.35"",""22943.25"",""80.61"""
"Thu Jun 20 2024 09:30:00 GMT+0530 (India Standard Time),""22939.90"",""22972.45"",""22898.10"",""22938.50"",""42.40"""
"Thu Jun 20 2024 09:45:00 GMT+0530 (India Standard Time),""22940.35"",""22949.50"",""22818.25"",""22861.85"",""-8.32"""
"Thu Jun 20 2024 10:00:00 GMT+0530 (India Standard Time),""22863.75"",""22867.60"",""22835.80"",""22838.45"",""-38.48"""
"Thu Jun 20 2024 10:15:00 GMT+0530 (India Standard Time),""22837.90"",""22910.95"",""22819.25"",""22906.30"",""-16.57"""
"Thu Jun 20 2024 10:30:00 GMT+0530 (India Standard Time),""22906.95"",""22929.40"",""22878.20"",""22909.05"",""2.94"""
"Thu Jun 20 2024 10:45:00 GMT+0530 (India Standard Time),""22909.15"",""22925.10"",""22890.70"",""22914.00"",""1.87"""
"Thu Jun 20 2024 11:00:00 GMT+0530 (India Standard Time),""22915.40"",""22971.10"",""22914.90"",""22926.75"",""25.85"""
"Thu Jun 20 2024 11:15:00 GMT+0530 (India Standard Time),""22925.70"",""22959.45"",""22916.90"",""22947.65"",""24.71"""
"Thu Jun 20 2024 11:30:00 GMT+0530 (India Standard Time),""22947.05"",""22993.80"",""22943.25"",""22980.80"",""54.85"""
"Thu Jun 20 2024 11:45:00 GMT+0530 (India Standard Time),""22981.05"",""23004.30"",""22977.45"",""22997.95"",""74.65"""
"Thu Jun 20 2024 12:00:00 GMT+0530 (India Standard Time),""22999.45"",""23000.80"",""22970.40"",""22983.65"",""56.39"""
"Thu Jun 20 2024 12:15:00 GMT+0530 (India Standard Time),""22983.60"",""23004.35"",""22974.25"",""22980.25"",""51.42"""
"Thu Jun 20 2024 12:30:00 GMT+0530 (India Standard Time),""22983.00"",""22985.70"",""22951.55"",""22959.40"",""16.41"""
"Thu Jun 20 2024 12:45:00 GMT+0530 (India Standard Time),""22957.95"",""22986.60"",""22951.10"",""22981.20"",""27.08"""
"Thu Jun 20 2024 13:00:00 GMT+0530 (India Standard Time),""22981.35"",""23011.50"",""22980.40"",""22988.35"",""61.54"""
"Thu Jun 20 2024 13:15:00 GMT+0530 (India Standard Time),""22988.25"",""23068.55"",""22986.80"",""23052.40"",""142.99"""
"Thu Jun 20 2024 13:30:00 GMT+0530 (India Standard Time),""23053.10"",""23068.75"",""23030.70"",""23053.60"",""160.70"""
"Thu Jun 20 2024 13:45:00 GMT+0530 (India Standard Time),""23053.60"",""23058.20"",""22978.85"",""22980.95"",""78.57"""
"Thu Jun 20 2024 14:00:00 GMT+0530 (India Standard Time),""22982.00"",""23016.30"",""22977.40"",""23009.80"",""64.73"""
